cod_produs;cod_ean;nume_produs;descriere;nume_categorie;imag_baza;cant_stock;in_stock;pret_produs;pret_sugerat;categorie_id;categorie_path_subcat;greutate;producator;creat_la_data;imag_galerie
100000;;Stegulet Reflectorizant M-WAVE  SF SHORT;<ul><li>Prindere pe portbagaj</li><li>Lungime 380 mm</li></ul>;Reflectorizante;;0;0;11.0;22.0;100;Reflectorizante;;M-WAVE;2024/01/01;
100001;;Set Benzi Metalice  Reflectorizante  M-WAVE  ILLU PANTCLAMPS N;<ul><li>Din metal</li><li>Cu Banda Reflectorizanta</li><li>Setul contine doua bucati.</li></ul>;Trotineta electrica si accesorii;;0;0;7.0;14.0;100;Trotineta electrica si accesorii;;M-WAVE;2024/01/01;
100002;;Banda Reflectorizanta M-WAVE WRAP FLASH 4 LED-uri;<ul><li>Pentru brate sau picioare</li><li>Material reflectorizant</li><li>3M Scotchlite</li><li>Banda Galben Neon</li><li>4 LED-uri rosii</li><li>2 functii flashing si steady light</li><li>Vizibilitate 300 m si 360*</li><li>Se poate folosi si la activitati outdoor</li><li>Testat CE/EN 13356</li><li>Include baterii(1 x CR 2032)</li></ul>;Reflectorizante;;0;0;15.0;30.0;100;Reflectorizante;;M-WAVE;2024/01/01;
100003;;Set Stikere Reflectorizante  ( 16buc )  M-WAVE REFLICKERS BOW  0,7x10 cm;<ul><li>Set de stikere reflectorizante format din 16 buc. ( 8 albe, 8 galbene )</li><li>Dimensiuni : aprox 0,7 x 10 cm </li><li>Material reflectorizant 3M Scotchlite</li></ul>;Trotineta electrica si accesorii;;0;0;8.5;17.0;100;Trotineta electrica si accesorii;;M-WAVE;2024/01/01;
100004;;Stegulet Reflectorizant M-WAVE 150 cm;<ul><li>Se monteaza pe axul butucului de spate</li><li>Ideal pentru bicicletele de copii</li><li>Lungime 150 cm</li><li>Divizibil la mijloc</li></ul>;Reflectorizante;;5;1;9.0;18.0;100;Reflectorizante;;M-WAVE;2024/01/01;
100005;;Set Benzi Reflectorizante  M-WAVE  VELCRO ILLU;<ul><li>Banda cu dunga reflectorizanta</li><li>Flexibila si reglabila</li><li>Prindere cu scai</li><li>Lungime aprox - 280 mm</li><li>Culoare <strong>Galben Neon</strong></li><li>Blister M-WAVE</li></ul>;Reflectorizante;;0;0;9.0;18.0;100;Reflectorizante;;M-WAVE;2024/01/01;
100006;;Set Benzi Reflectorizante  M-WAVE  SNAPWRAP;<ul><li>Doar pentru maini si picioare</li><li>Culoare<strong> Galben Neon </strong></li><li>Dimensiuni <strong>30 x 340 mm</strong></li><li><strong> Testat EN 13356</strong></li><li><strong>Setul contine doua bucati</strong></li></ul>;Trotineta electrica si accesorii;;5;1;6.25;12.5;100;Trotineta electrica si accesorii;;M-WAVE;2024/01/01;
100007;;Reflectorizant Spite M-WAVE 3M Scotchlite;<ul><li>Material: Plastic</li><li><strong>3M Scotchlite</strong> reflectorizant</li><li>Vizibil 360*</li></ul>;Reflectorizante;;5;1;1.0;2.0;100;Reflectorizante;;M-WAVE;2024/01/01;
100008;;Set Stikere Protectie VELO Transparent(9 buc.);<ul><li>Material Self-adhesive</li><li>Setul contine 9 stikere transparente</li><li>protectie pentru furca si cadru</li><li>3M Scotchlite</li></ul>;Trotineta electrica si accesorii;;5;1;17.5;35.0;100;Trotineta electrica si accesorii;;VELO;2024/01/01;
100009;;Catadioptri Cleme Metal VENTURA  K;<ul><li>Prinderi cu cleme metal</li><li>Dimensiune: 60 mm intre prinderi</li><li>Material: Plastic</li><li>Culoare: Portocaliu reflectorizant</li></ul>;Reflectorizante;;5;1;1.25;2.5;100;Reflectorizante;;VENTURA;2024/01/01;
